address,status,description,comments
0.0.0.0/32,reserved,[Special] IANA not usable: This host on this network (0.0.0.0/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.0.0.8/32,reserved,[Special] IANA not usable: IPv4 dummy address (192.0.0.8/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.0.0.9/32,reserved,[Special] IANA not usable: Port Control Protocol Anycast (192.0.0.9/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.0.0.10/32,reserved,[Special] IANA not usable: Traversal Using Relays around NAT Anycast (192.0.0.10/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.0.0.170/32,reserved,[Special] IANA not usable: NAT64/DNS64 Discovery (192.0.0.170/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.0.0.171/32,reserved,[Special] IANA not usable: NAT64/DNS64 Discovery (192.0.0.171/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
192.88.99.2/32,reserved,[Special] IANA not usable: 6a44-relay anycast address (192.88.99.2/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
255.255.255.255/32,reserved,[Special] IANA not usable: Limited Broadcast (255.255.255.255/32),Source: https://www.iana.org/assignments/iana-ipv4-special-registry/iana-ipv4-special-registry.xhtml
::/128,reserved,[Special] IANA not usable: Unspecified Address (::/128),Source: https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
::1/128,reserved,[Special] IANA not usable: Loopback Address (::1/128),Source: https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
2001:1::1/128,reserved,[Special] IANA not usable: Port Control Protocol Anycast (2001:1::1/128),Source: https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
2001:1::2/128,reserved,[Special] IANA not usable: Traversal Using Relays around NAT Anycast (2001:1::2/128),Source: https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
2001:1::3/128,reserved,[Special] IANA not usable: DNS-SD Service Registration Protocol Anycast (2001:1::3/128),Source: https://www.iana.org/assignments/iana-ipv6-special-registry/iana-ipv6-special-registry.xhtml
